city,hotel_star_rating,latitude,longitude,property_address,property_name,rating,price
Udaipur,1 star,24.581788,73.667805,"Zion, F-17, Haridas Ji Ki Magri, Near Bal Vinay Mandir School , Hardasji Ki Magri",Zion Home Stay,1,2262
Udaipur,3 star,24.544342,73.644242,"Udaipur-Jhadol Road , Near Nai Gaon",Araliayas Resorts,3,1349
Udaipur,2 star,24.579942,73.681953,"23/208 Gangaur Ghat Near Bagore Ki Haveli , Near Bagore Ki Haveli",Shri Udai Palace,2,1915
Udaipur,1 star,24.622607,73.855194,"Opp GITS, NH-76, Bamaniya Khet, Dabok , Dabok",SNP House Airport Hotel And Restaurant,1,2182
Udaipur,2 star,24.5801,73.6822,"64 Ghangour Ghat, Opp Bagore Ki Haveli , East Udaipur",Hotel Pichola Haveli (LAKE SIDE),2,1540
Udaipur,1 star,24.575779,73.694363,"OppSajjan Niwas Garden , Lake Palace Road",Garden Hotel,1,1680
Udaipur,3 star,24.567592,73.677763,"Lake Pichola , Lake Pichola",Jagmandir Island Palace,3,1813
Udaipur,3 star,24.5452,73.6784,"Goverdhan Vilas , Udaipur",Shikarbadi Heritage,3,1593
Udaipur,4 star,24.574291,73.684014,"Lake Pichola, The Palace Complex , Udaipur",Shiv Niwas Palace,4,3263
Udaipur,2 star,24.599427,73.69001,"61-A New Fatehpura,Sukhadia Circle. , Sukhadia Circule",Hotel The Archi,2,1347
Udaipur,1 star,24.615796,73.707245,"Near Celebration Mall, Opp Parmanand Ashram, Bhuwana , National Highway No.-8",Everest Resort,1,1968
Udaipur,3 star,24.57687,73.694619,"16, Guluab Bagh Road, Near Hariyali Restaurant , Gulab Bagh Road",Hotel Mukund Villas,3,1528
Udaipur,1 star,24.5769,73.6995,"1-E, City Station Road, Near Bus Stop , City Station Road",Hotel Paras,1,2222
Udaipur,1 star,24.573297,73.699672,"20 A, Shivaji Nagar, Nr City Railway Station , Udaipur Railway Station",Hotel Jagat Villa,1,1776
Udaipur,3 star,24.577341,73.700399,"2b, Hotel Street, Opposite ICICI Bank, , Udaipole",Shree Narayana,3,2166
Udaipur,1 star,24.5773,73.7014,"33, Hotel Street, Udaipole , Udaipole",Hotel Sunder,1,2031
Udaipur,1 star,24.583848,73.651997,"Rampura Choraha ,",Blue Mountain Hotel,1,1329
Udaipur,2 star,24.576239,73.696768,"Inside Udiapole, Near Bus Stand , Udiapol Road",Hotel Shalimar Palace,2,1713
Udaipur,3 star,24.609454,73.660771,"Adjacent Shilp Gram, Near Fateh Sagar Lake, Rani Road ,",Amantra Shilpi Resort,3,1365
Udaipur,1 star,24.591,73.6805,"F-18, Nr Fateh Sagar Lake,Opp Hiltop Hotel , Ambavgarh",Hotel Kalika Palace,1,1615
Udaipur,1 star,24.5931,73.7098,"1 new bhopal pura 100 ft road , University Road",The Royal Inn,1,2140
Udaipur,3 star,24.504458,73.657987,"Opp Indo American Public School, Seth ji ki kundal Balicha NH8 , Sethji Ki Kundal",The Amargarh Resort,3,1992
Udaipur,2 star,24.578484,73.684716,"15 Sahiwalo ki gali, Bhatiyani Chotta , City Palace",Janak Niwas Guest House,2,1800
Udaipur,1 star,24.585837,73.649029,"Rampura Chourah ,Rampura Chauraha, Udaipur ,",Adarsh Resort Udaipur,1,1185
Udaipur,4 star,24.5683,73.6991,"City Railway Station, Udaipur , Udaipur Railway Station",Le Roi Udaipur,4,3266
Udaipur,1 star,24.581349,73.682387,"40 Ganesh Gati ,near Gadiya , DevraUdaipur Rajasthan",Udai Haveli Guest House,1,2084
Jaisalmer,1,26.913377,70.918887,C.V.Singh Colony Opp Collector Office,Hotel Suman Palace,1,1605
Neemrana,1,0,0,Near Raath InternationalSchool Between Delhi  JaipurNational,RAJ MAHAL RESORT,1,2032
