City,Place,City_Place,Rating,City_desc,Place_desc,latitude,longitude
Jaipur,Ele Experience Farm,Ele Experience Farm-Jaipur,4.902061855670103,"With the old city surrounded by walls and gates decorated with drawings on the backdrop of a beautiful pink hue, Jaipur, the pink city, successfully retains its old-world charm.",-,,
Amer,EleSafari,EleSafari-Amer,4.898423817863398,-,-,,
Jaipur,Make Bike Trip,Make Bike Trip-Jaipur,4.883720930232558,"With the old city surrounded by walls and gates decorated with drawings on the backdrop of a beautiful pink hue, Jaipur, the pink city, successfully retains its old-world charm.",-,,
Murdeshwar,West Coast Adventures,West Coast Adventures-Murdeshwar,4.871595330739299,-,-,,
Aluva,Seasonz India,Seasonz India-Aluva,4.85978835978836,-,-,,
Bambolim,Aquasail 360' Sailing - Day Adventures in Bambolim and Goa,Aquasail 360' Sailing - Day Adventures in Bambolim and Goa-Bambolim,4.847619047619047,-,-,,
Amer,Elefanjoy Elephant Sanctuary,Elefanjoy Elephant Sanctuary-Amer,4.843326885880077,-,-,,
Arpora,Zaara - The Luxury Spa,Zaara - The Luxury Spa-Arpora,4.840909090909091,-,-,,
Amer,Elefriend,Elefriend-Amer,4.838487972508591,-,-,,
Vypin Island,Cherai Ayurvedic Bhavan Spa,Cherai Ayurvedic Bhavan Spa-Vypin Island,4.824817518248175,-,-,,
Chundale,Asdani Adventures,Asdani Adventures-Chundale,4.823008849557522,-,-,,
Jaipur,Amer jeep Safari,Amer jeep Safari-Jaipur,4.821989528795812,"With the old city surrounded by walls and gates decorated with drawings on the backdrop of a beautiful pink hue, Jaipur, the pink city, successfully retains its old-world charm.",-,,
Nileshwar,Bekal Ripples,Bekal Ripples-Nileshwar,4.820689655172414,-,-,,
Aluva,Make Our Moments,Make Our Moments-Aluva,4.819230769230769,-,-,,
Surat,Amaazia Water Park,Amaazia Water Park-Surat,4.804597701149425,-,-,,
Jaipur,Yoga in Jaipur,Yoga in Jaipur-Jaipur,4.804347826086956,"With the old city surrounded by walls and gates decorated with drawings on the backdrop of a beautiful pink hue, Jaipur, the pink city, successfully retains its old-world charm.",-,26.9164777,75.7966726
Bundi,Geet Art & Jewellery,Geet Art & Jewellery-Bundi,4.797687861271676,-,-,,
